finess,rs,champ_pmsi,taa,cat,taille_MCO,taille_M,taille_C,taille_O,A7,A8,A9,A10,A11,A12,A13,A14,A15,CI_AC1,CI_AC2,CI_AC3,CI_AC4,CI_AC5,CI_AC6,CI_AC7,CI_AC8,CI_AC9,CI_A1,CI_A2,CI_A3,CI_A4,CI_A5,CI_A6,CI_A7,CI_A8,CI_A9,CI_A10,CI_A11,CI_A12,CI_A13,CI_A14,CI_A15,CI_E1,CI_E2,CI_E3,CI_E4_v2,CI_E5,CI_E6,CI_E7_v2,CI_F1_D,CI_F1_O,CI_F2_D,CI_F2_O,CI_F3_D,CI_F3_O,CI_F4_D,CI_F4_O,CI_F5_D,CI_F5_O,CI_F6_D,CI_F6_O,CI_F7_D,CI_F7_O,CI_F8_D,CI_F8_O,CI_F9_D,CI_F9_O,CI_F10_D,CI_F10_O,CI_F11_D,CI_F11_O,CI_F12_D,CI_F12_O,CI_F13_D,CI_F13_O,CI_F14_D,CI_F14_O,CI_F15_D,CI_F15_O,CI_F16_D,CI_F16_O,CI_F17_D,CI_F17_O,CI_F18_D,CI_F18_O,CI_F19_D,CI_F19_O,CI_F20_D,CI_F20_O,CI_F21_D,CI_F21_O,CI_F22_D,CI_F22_O,CI_F23_D,CI_F23_O,CI_F24_D,CI_F24_O,CI_F25_D,CI_F25_O,CI_F26_D,CI_F26_O,CI_F27_D,CI_F27_O,CI_A16_1,CI_A16_2,CI_A16_3,CI_A16_4,CI_A16_5,CI_A16_6,CI_A18_1,CI_A18_2,CI_A18_3,CI_A18_4,CI_A18_5,CI_A17_1,CI_A17_2,CI_A17_3,CI_A17_4,CI_A17_5,CI_RH1,CI_RH2,CI_RH3,CI_RH4,CI_RH5,CI_RH6,CI_RH7,CI_RH8,CI_RH9,CI_RH10,CI_RH11,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P12_bis,P13,P14,P15,P16,RH1,RH2,RH3,RH4,RH5,RH6,RH7,RH8,RH9,RH10
440000289,CHU DE NANTES,DGF,TAA,CHR,T5,M5,C5,O4,"        11,8","        5,29","       10,46","        1,62","        1,35","        36,3","        73,9","       104,6",          84,         977,         114,          43,         117,         150,         402,          45,          92,          15,       50052,       20075,        5333,       45591,       12116,        2132,       21548,           0,       13314,       12720,        4255,       30026,,        9874,         196,           6,           6,           4,           5,          41,           3,,,,,,,,,,,,,,,,,,,,                                      .c,,,,,,,,                                      .c,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chirurgie du sein : 79,Cataracte : 1195,Arthroscopie du genou : 136,Hernie enfant : 268,RTU prostate : 132,Hernie adulte y compris coelioscopie : 230,Autres chirurgies gynécologiques autres que le sein : 1562,Chirurgies majeures orthopédiques (dont hanche et fémur genou) : 1514,"Chirurgies transurétrales, autres : 1462",Cataractes : 1126,Traumatismes du bassin et des membres : 1088,"Névroses, psychoses et autres troubles mentaux : 5218",Signes et symptômes : 4897,affections médicales du nouveau né : 4212,Infections respiratoires : 3799,Explorations et surveillance pour affections du système nerveux : 3006,"      941,15","       479,8","      102,53","       95,15","       21,05","     9065,25","      891,49","     6055,33","      104,82","      524,56","     1489,05","       0,982","       1,102","       1,203",,,,,,      362641,"       21,76","       75,01","       37,54","       41,71","       75,15","       122,5",           9,,          33,       16266,"    106802,3",          27,"         1,5","         5,2",,"         8,6","         7,5",
440000313,CH CHATEAUBRIANT NOZAY POUANCE,DGF,TAA,CH,T2,M2,C1,O2,"         6,3","        1,21","       14,21",,,"        70,9","        94,7",,"        55,6",          85,           6,           6,,           9,,,          15,           3,        5251,         608,         718,        2525,         541,         219,         333,           0,           0,         325,         548,         422,,         732,          77,           1,           1,,,           1,           2,,,,,,,,,,,,,,,,,,,,                                      .c,,,,,,,,                                      .c,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chirurgie du sein : 0,Cataracte : 0,Arthroscopie du genou : 0,Hernie enfant : 0,RTU prostate : 0,Hernie adulte y compris coelioscopie : 2,Trauma crâniens : 327,Intervention  peau et tissu sous-cutané : 249,Traumatismes du bassin et des membres : 192,Chirurgies utérus / annexes : 134,"Occlusions, sub-occlusions digestives : 100",affections médicales du nouveau né : 568,Infections respiratoires : 554,Toxicomanies et alcoolisme : 549,"Cardiopathies, valvulopathies : 302",Symptômes digestifs : 269,"       54,46","       41,96","         0,6","         2,6",           4,"      581,09","       60,05","       419,3","         9,2","       28,66","       63,88","       1,035","        1,01","       1,082",,,,,,      135016,"        20,8","       73,96","       47,08",          75,"       33,33",                                      .c,          34,,          30,"      3664,3","    174398,3","        25,3","         2,2","         3,6",,"         9,3","        26,6",
440000404,CLINIQUE SAINTE MARIE,OQN,TAA,CLI,T1,M1,C2,,"         3,4","        0,03","        2,29",,,           0,          23,"        45,3",,           4,,           4,,,          30,          23,,,         146,        1216,           0,        1844,        2678,           0,           0,           0,           0,           4,           0,        3708,,        1863,          23,,,,,           5,,,,,,,,,,,,,,,,,,                                      .z,,,,                                      .z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chirurgie du sein : 0,Cataracte : 1405,Arthroscopie du genou : 122,Hernie enfant : 2,RTU prostate : 37,Hernie adulte y compris coelioscopie : 139,Cataractes : 1401,Chirurgies majeures orthopédiques (dont hanche et fémur genou) : 388,"Chirurgies main, poignet : 220",Chirurgie du membre supérieur (hors prothèses) : 180,Hernies : 156,Endoscopies digestives thérapeutiques et anesthésie : séjours de moins de 2 jours : 1348,Endoscopies digestives avec ou sans anesthésie : 401,Cathétérismes thérapeutiques vasculaires et coronariens sans endoprothèse : 112,"Autres séj. sans acte, avec anesthésie, en ambulatoire (Aff. myéloP., peau, sein..) : 26",Gastro-entérites et affections du tube digestif : 12,"       18,45",           2,"       12,86","         2,5",,"       76,34","       13,85","       53,68",,"         7,5","        1,31","       0,996","       0,955",,,,,,,      250969,,,"       68,78","       69,37","       89,74","        52,9",,,,"     74500,8","     70291,1","        49,9","         0,9",,,                                      .z,                                      .z,                                      .z
440000412,CLINIQUE BRETECHE VIAUD,OQN,TAA,CLI,T3,M2,C3,O3,"         6,7","        0,14","        2,21",,,           0,"        35,5","        44,5","        58,8",          61,           0,          10,           0,          18,          39,          34,          30,           0,        2854,        2793,        1528,        5233,        3112,         349,           0,           0,           0,         280,        1365,        6400,,         896,          35,           1,,,,           9,           1,,,,,,,,,,,,,,,,,                                      .z,,,,                                      .z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chirurgie du sein : 62,Cataracte : 0,Arthroscopie du genou : 110,Hernie enfant : 0,RTU prostate : 0,Hernie adulte y compris coelioscopie : 98,Chirurgies rachis/moelle : 1094,chirurgie tumeurs malignes de la peau : 624,Chirurgie esthétique et de confort : 498,Chirurgies utérus / annexes : 481,Pose stimulateur cérébral / médullaire : 405,Douleurs chroniques : 2301,affections médicales du nouveau né : 1388,"Explorations et surveillance pour affections endocriniennes, troubles métaboliques, nutritionnels et obésité : 1087",Explorations et surveillance pour maladies et troubles mentaux : 689,Explorations et surveillance gynécologiques et des affections des seins : 286,"        69,6","       28,97","       17,23","         6,5",           9,"      326,47","       39,76","      255,55","         1,8","       10,28","       19,08","       0,925","       0,784","       1,012",,,,,,      358834,"       21,83","       87,54","       52,26","       52,79","       79,37","        44,7",,,          49,"    138186,2","    135304,6","        14,9",,"         2,1",,                                      .z,                                      .z,                                      .z
440000487,CLINIQUE UROLOGIQUE NANTES ATLANTIS,OQN,TAA,CLI,T1,M1,C2,,"        22,5","        0,04","        1,78",,,           0,,"        27,1",,           0,,,,           0,          40,          15,           0,           0,         318,        1711,           0,         531,        2711,           0,         187,           0,           0,           0,           0,        4254,,        1933,          13,,,,,           5,,,,,,,,,,,,,,,,,,                                      .z,,,,                                      .z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chirurgie du sein : 0,Cataracte : 0,Arthroscopie du genou : 0,Hernie enfant : 15,RTU prostate : 658,Hernie adulte y compris coelioscopie : 95,Chirurgies appareil génital masculin : 1527,"Chirurgies transurétrales, autres : 1023",Circoncisions : 860,Chirurgies pelviennes majeures (urologie) : 226,"Séjours comprenant une biopsie prostatique, en ambulatoire : 220","Endoscopies génito-urinaires, avec ou sans anesthésie : 204",Prise en charge médicale des tumeurs de l'appareil génital masculin : 182,"Autres affections reins, voies urinaires : 151",Autres affections appareil génital masculin : 101,"Infections reins et voies urinaires, lithiases : 99",          10,,           6,"         2,5",,"       60,89","       14,44","       39,69",,"        6,76",,"       0,777","        0,75",,,,,,,      159998,,,"       61,76","       61,81","       93,01","        83,8",,,,"     88063,2","     96638,8","        17,2",,,,                                      .z,                                      .z,                                      .z
440001113,ICO - SITE GAUDUCHEAU,DGF,TAA,CLCC,T2,M2,C2,,"        94,6","        0,55","         5,1",,,           0,"        86,4",          75,,          32,,           5,,           5,          19,          12,,,        1871,        1165,           0,        4260,        2417,           0,       22779,       52112,           0,         416,           0,        2594,,          79,          30,           1,           1,           2,,           5,,,,,,,,,,,,,,,,,,,,,                                      .c,,,,,,,,                                      .c,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chirurgie du sein : 793,Cataracte : 0,Arthroscopie du genou : 0,Hernie enfant : 0,RTU prostate : 1,Hernie adulte y compris coelioscopie : 0,Chirurgie pour tumeurs malignes sein : 1003,Mise en place d'accès vasculaire : 926,Chirurgie du sein hors TM : 707,Chirurgie pour tumeurs malignes (app génital fem) : 188,Autres chirurgies digestives : 159,Chimiothérapie hors séances : 675,Prise en charge médicale des tumeurs des seins : 664,Douleurs chroniques : 643,Signes et symptômes : 583,Soins palliatifs : 417,"       76,54","       47,04","        6,59","        8,52",           1,"      430,95","       90,29","      182,42","        4,53","      132,91","        20,8","       0,985","        0,92",,,,,,,      282954,,,"       67,48","       68,41","       69,07","        73,2","         1,5",,           0,"     52085,4","    251762,4","        19,3","         0,4",,,,,
440002020,POLYCLINIQUE DE L'EUROPE,OQN,TAA,CLI,T3,M2,C4,,"         9,2","        0,24","        4,21",,,           0,"        60,9",          69,,          52,,           5,,           4,          40,          44,,,        2805,        2382,           0,        4292,        9860,           0,         110,           0,           0,          45,           0,       11335,,        4059,          51,,,,,           6,,,,,,,,,,,,,,,,,,                                      .z,,,,                                      .z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chirurgie du sein : 135,Cataracte : 3713,Arthroscopie du genou : 322,Hernie enfant : 5,RTU prostate : 111,Hernie adulte y compris coelioscopie : 335,Cataractes : 3618,"Chirurgies main, poignet : 1146",actes ORL et stomato divers : 743,Chirurgies majeures orthopédiques (dont hanche et fémur genou) : 681,"Arthroscopies, Biopsies ostéo-articulaires : 532",Endoscopies digestives avec ou sans anesthésie : 1778,Endoscopies digestives thérapeutiques et anesthésie : séjours de moins de 2 jours : 1306,Cathétérismes thérapeutiques vasculaires et coronariens avec endoprothèse ou prothèses cardiaques : 777,Cathéthérismes diagnostiques vasculaires et coronariens : 557,"Autres séj. sans acte, avec anesthésie, en ambulatoire (Aff. myéloP., peau, sein..) : 403","       59,23","       27,53",          22,           6,"         1,5","      193,99","       33,75","      144,43","        0,86","        6,84","        8,11","       0,858","       0,901",,,,,,,      624941,,,"       80,43","       80,68","       95,44","       102,1",,,           0,"    179004,2",      121619,"        13,1",,,,                                      .z,                                      .z,                                      .z
440005080,DIALYSE ECHO NANTES,OQN,TAA,CLI,T0,,,,,,,,,,,,,,,,,,,,,,           0,           0,           0,           0,           0,           0,           0,           0,       24817,           0,           0,           0,,           0,,,,,,,,,,,,,,,,,,,,,,,,                                      .z,,,,                                      .z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chirurgie du sein : 0,Cataracte : 0,Arthroscopie du genou : 0,Hernie enfant : 0,RTU prostate : 0,Hernie adulte y compris coelioscopie : 0,,,,,,,,,,,"        9,95","        3,82",,,,"       113,1","       50,19","       24,81","        4,88","       10,09","       23,13",,,,,,,,,                                      .c,,,,,,,,,,,,"         9,3",,,,                                      .z,                                      .z,                                      .z
440027589,DIALYSE ECHO CHATEAUBRIANT,OQN,TAA,CLI,T0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440028538,CHIC DE LA PRESQU'ILE,DGF,HP,CH,T1,M1,C1,,"        11,2","        1,09","       49,73",,,           0,"        52,5",,,          59,,,,           0,           0,           0,           0,           0,         689,          41,           0,           4,           0,           0,           0,           0,           0,           6,           0,           0,,          29,          25,,,,,           0,,,,,,,,,,,,,,,,,,,,,                                      .c,,,,,,,,                                      .c,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chirurgie du sein : 0,Cataracte : 0,Arthroscopie du genou : 0,Hernie enfant : 0,RTU prostate : 0,Hernie adulte y compris coelioscopie : 0,Traumatismes du bassin et des membres : 17,"Occlusions, sub-occlusions digestives : 9",Trauma crâniens : 5,Intervention  peau et tissu sous-cutané : 4,"Chirurgie Fractures, entorses, luxations, tractions : 3",Toxicomanies et alcoolisme : 239,Soins palliatifs : 53,Infections respiratoires : 52,"Cardiopathies, valvulopathies : 37",Signes et symptômes : 37,"        7,79","        6,92",,,,"      284,98","       28,53","      191,56","        2,55","        2,92","       59,42","       1,362","       1,608",,,,,,,                                      .c,,,           0,,,                                      .c,"         2,1",,,,,"        20,7",,,,"        10,7","        10,3",
440029338,CLINIQUE MUTUALISTE JULES VERNE,DGF,TAA,EBNL,T3,M2,C3,O4,"        15,4","        0,49","        7,38",,,           0,"        63,2","        99,4","        72,8",          64,,           8,,,          31,          17,          55,,        5516,        2647,        3520,        1082,        2990,        1007,           1,           0,           0,         424,        3248,        6477,,        1623,          42,           2,           2,,,           6,           2,,,,,,,,,,,,,,,,,,,,                                      .c,,,,,,,,                                      .c,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chirurgie du sein : 241,Cataracte : 1,Arthroscopie du genou : 0,Hernie enfant : 19,RTU prostate : 271,Hernie adulte y compris coelioscopie : 626,Chirurgies utérus / annexes : 770,Hernies : 706,Autres chirurgies gynécologiques autres que le sein : 701,Chirurgies appareil génital masculin : 651,"Chirurgies transurétrales, autres : 504",affections médicales du nouveau né : 3280,"Endoscopies génito-urinaires, avec ou sans anesthésie : 371",Signes et symptômes : 360,Suivi thérap.d'affections connues : 301,"Autres Maladies immunitaires, du Sang, des Organes hématopoïétiques, Tumeurs siège imprécis ou diffus : 177",,,,,,,,,,,,"       0,838","        0,92","       0,984",,,,,,      363514,"       17,61","       83,03","       53,05",          59,"       68,43",          80,          73,,,,,,,,,,,
440029379,CLINIQUE JULES VERNE,OQN,TAA,CLI,T4,M3,C5,,"         7,9","        1,15","        0,31",,,           0,"       173,2","        49,5",,           4,,           4,,,          60,          87,,,        1394,        3112,           0,       12999,       25132,           0,           0,           0,           0,         710,           0,       24921,,       13330,          23,           2,           2,,,          19,,,,,,,,,,,,,,,,,,                                      .z,,,,                                      .z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chirurgie du sein : 77,Cataracte : 11413,Arthroscopie du genou : 555,Hernie enfant : 0,RTU prostate : 0,Hernie adulte y compris coelioscopie : 12,Cataractes : 11283,actes ORL et stomato divers : 3528,Chirurgies ophtalmo lourdes : 1913,"Chirurgies main, poignet : 1559",Autres chirurgies ophtalmo : 1233,Endoscopies digestives avec ou sans anesthésie : 6700,Endoscopies digestives thérapeutiques et anesthésie : séjours de moins de 2 jours : 4755,"Autres séj. sans acte, avec anesthésie, en ambulatoire (Aff. myéloP., peau, sein..) : 439",Affections Cavité buccale et dents : 251,Cathétérismes thérapeutiques vasculaires et coronariens sans endoprothèse : 232,          91,          27,          44,          18,           2,"      320,09","       43,56","      245,86","        0,93","       10,21","       19,53","       0,761","       0,935",,,,,,,      426592,,,"       88,26","       88,29","       96,79","       132,3",,,           0,"    129987,8","    130383,4","        31,2",           0,,,                                      .z,                                      .z,                                      .z
440033819,SANTÉ ATLANTIQUE,OQN,TAA,CLI,T4,M4,C5,O4,"         6,2","        0,34","        1,05",,,           0,"        94,7","        40,4","        58,1",          32,,          14,,           6,         202,         108,          89,           5,        7456,       10053,        4594,       18663,       46354,         396,         459,           0,           0,         931,        3884,       54629,,       14856,          56,,,,,          42,           2,,,,,,,,,,,,,,,,,                                      .z,,,,                                      .z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chirurgie du sein : 223,Cataracte : 9840,Arthroscopie du genou : 1586,Hernie enfant : 12,RTU prostate : 302,Hernie adulte y compris coelioscopie : 527,"Chirurgies main, poignet : 10113",Cataractes : 9693,Autres chirurgies ophtalmo : 2904,"Arthroscopies, Biopsies ostéo-articulaires : 2187",Chirurgies majeures orthopédiques (dont hanche et fémur genou) : 2143,Endoscopies digestives avec ou sans anesthésie : 5741,Endoscopies digestives thérapeutiques et anesthésie : séjours de moins de 2 jours : 4825,"Autres séj. sans acte, avec anesthésie, en ambulatoire (Aff. myéloP., peau, sein..) : 4556",affections médicales du nouveau né : 4021,Cathétérismes thérapeutiques vasculaires et coronariens sans endoprothèse : 757,"       178,7",          32,          74,          50,          19,"      998,86","       106,1","      769,46",,"        56,5","        66,8","       0,874","       0,879","       0,997",,,,,,      492982,"       22,14","       91,07","       82,26","       82,16","       93,22","       196,5",,,          64,"    118760,2","    199557,4","        63,6",,"         2,2",,                                      .z,                                      .z,                                      .z
440036176,CENTRE DIALYSE ECHO ST HERBLAIN,OQN,TAA,CLI,T0,,,,,,,,,,,,,,,,,,,,,,           0,           0,           0,           0,           0,           0,           0,           0,        7037,           0,           0,           0,,           0,,,,,,,,,,,,,,,,,,,,,,,,                                      .z,,,,                                      .z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chirurgie du sein : 0,Cataracte : 0,Arthroscopie du genou : 0,Hernie enfant : 0,RTU prostate : 0,Hernie adulte y compris coelioscopie : 0,,,,,,,,,,,"        2,24","        2,24",,,,"       15,52","        0,84","       14,68",,,,,,,,,,,,                                      .c,,,,,,,,,,,,"        47,6",,,,                                      .z,                                      .z,                                      .z
440036499,CENTRE DIALYSE ECHO REZE,OQN,TAA,CLI,T0,,,,,,,,,,,,,,,,,,,,,,           0,           0,           0,           0,           0,           0,           0,           0,       17805,        5065,           0,           0,,           0,,,,,,,,,,,,,,,,,,,,,,,,                                      .z,,,,                                      .z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chirurgie du sein : 0,Cataracte : 0,Arthroscopie du genou : 0,Hernie enfant : 0,RTU prostate : 0,Hernie adulte y compris coelioscopie : 0,,,,,,,,,,,"        4,28","        4,28",,,,"       62,36","        3,95","       58,41",,,,,,,,,,,,                                      .c,,,,,,,,,,,,"        51,4",,,,                                      .z,                                      .z,                                      .z
440039568,DIALYSE ECHO LA BAULE,OQN,TAA,CLI,T0,,,,,,,,,,,,,,,,,,,,,,           0,           0,           0,           0,           0,           0,           0,           0,        6508,           0,           0,           0,,           0,,,,,,,,,,,,,,,,,,,,,,,,                                      .z,,,,                                      .z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chirurgie du sein : 0,Cataracte : 0,Arthroscopie du genou : 0,Hernie enfant : 0,RTU prostate : 0,Hernie adulte y compris coelioscopie : 0,,,,,,,,,,,"         0,2","         0,2",,,,"       12,93","        0,46","       12,47",,,,,,,,,,,,                                      .c,,,,,,,,,,,,"        31,5",,,,                                      .z,                                      .z,                                      .z
440041531,CHIC DU PAYS DE RETZ,DGF,HP,CH,T1,M1,C1,,          23,"        1,18","       42,63",,,           0,"        90,8",,,          30,,,,,,,,,         476,          29,           0,           4,           0,           0,           0,           0,           0,           0,           0,           0,,           0,          24,,,,,,,,,,,,,,,,,,,,,,,,,,                                      .c,,,,,,,,                                      .c,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chirurgie du sein : 0,Cataracte : 0,Arthroscopie du genou : 0,Hernie enfant : 0,RTU prostate : 0,Hernie adulte y compris coelioscopie : 0,Traumatismes du bassin et des membres : 20,Trauma crâniens : 4,Intervention  peau et tissu sous-cutané : 2,Ostéomyélites aigües (y compris vertébrales) et arthrites septiques : 2,"Occlusions, sub-occlusions digestives : 1",Soins palliatifs : 86,Toxicomanies et alcoolisme : 55,Signes et symptômes : 39,Troubles mentaux d'origine organique et retards mentaux : 31,Infections respiratoires : 30,"        6,79","        4,05",,,,"      170,91","       15,68","      125,68","        1,84","         5,2","       22,51","        1,77","       1,711",,,,,,,                                      .c,,,           0,,,                                      .c,"         0,4",,,,,"        40,2",,,,,"         4,4",
440041580,L'HÔPITAL PRIVÉ DU CONFLUENT,OQN,TAA,CLI,T4,M4,C5,,"        15,9","        0,71","        5,55",,,"        44,1","        76,9","        72,1",,         229,           8,          40,,          30,         148,          97,,,       12356,        8512,           5,       15289,       17008,           0,       20331,           0,           0,        2012,           0,       21662,,       11593,          93,           3,           3,           1,           4,          17,,,,,,,,,,,,,,,,,,                                      .z,,,,                                      .z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chirurgie du sein : 654,Cataracte : 2000,Arthroscopie du genou : 931,Hernie enfant : 9,RTU prostate : 177,Hernie adulte y compris coelioscopie : 687,actes ORL et stomato divers : 2101,Cataractes : 1975,"Chirurgies main, poignet : 1694","Arthroscopies, Biopsies ostéo-articulaires : 1663",Chirurgies majeures orthopédiques (dont hanche et fémur genou) : 1463,Endoscopies digestives avec ou sans anesthésie : 4979,Endoscopies digestives thérapeutiques et anesthésie : séjours de moins de 2 jours : 3434,Cathéthérismes diagnostiques vasculaires et coronariens : 1993,Cathétérismes thérapeutiques vasculaires et coronariens avec endoprothèse ou prothèses cardiaques : 1592,Douleurs chroniques : 1544,"      145,04","       86,87","        23,5","        12,5",           2,"      991,74","      152,47","      728,28","        9,08","       76,66","       25,25","       1,077","       0,999","       1,007",,,,,,      540595,,,"       66,65","        68,1","       94,91","        80,1",,,           0,"    200524,3",      284407,"        25,6",,,,                                      .z,                                      .z,                                      .z
440042141,CHIC SEVRE ET LOIRE,DGF,HP,CH,T1,M1,C0,,"        13,4","        2,41","        26,9",,,           0,"        78,4",,,          30,,,,,,,,,         570,           6,           0,           4,           0,           0,           0,           0,           0,           0,           0,           0,,           0,          18,,,,,,,,,,,,,,,,,,,,,,,,,,                                      .c,,,,,,,,                                      .c,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chirurgie du sein : 0,Cataracte : 0,Arthroscopie du genou : 0,Hernie enfant : 0,RTU prostate : 0,Hernie adulte y compris coelioscopie : 0,Traumatismes du bassin et des membres : 4,Trauma crâniens : 1,Ostéomyélites aigües (y compris vertébrales) et arthrites septiques : 1,,,Toxicomanies et alcoolisme : 236,Signes et symptômes : 46,Soins palliatifs : 40,"Cardiopathies, valvulopathies : 29",Maladies osseuses et arthropathies : 23,"       12,84","       10,69",,,,"      213,75","       31,31","      139,26","        2,59","         4,4","       36,19","       1,462","       1,924",,,,,,,                                      .c,,,           0,,,                                      .c,"         1,2",,,,,"        31,4",,,,,,
440048718,HÔPITAL DU CONFLUENT-SITE JULES VERNE,OQN,TAA,CLI,T1,M1,,,          63,           0,           0,,,,,,,,,,,          12,,,,,           0,           0,           0,          27,           0,           0,        4497,           0,           0,         125,           0,           0,,           0,           2,,,,,,,,,,,,,,,,,,,,,,,                                      .z,,,,                                      .z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chirurgie du sein : 0,Cataracte : 0,Arthroscopie du genou : 0,Hernie enfant : 0,RTU prostate : 0,Hernie adulte y compris coelioscopie : 0,,,,,,Suivi thérap.d'affections connues : 15,"Autres Maladies immunitaires, du Sang, des Organes hématopoïétiques, Tumeurs siège imprécis ou diffus : 11",Douleurs chroniques : 1,,,"         3,5","         3,5",,,,"        8,45","        2,95","         5,2","         0,3",,,,,,,,,,,                                      .c,,,,,,,,,,,,,,,,                                      .z,                                      .z,                                      .z
440050433,CLINIQUE MUTUALISTE DE L'ESTUAIRE,DGF,TAA,EBNL,T2,M2,C3,,"        27,6","        0,08","         8,9",,,           0,"        93,4","        58,6",,          54,,,,          32,          44,          19,,,        2361,        2585,           0,        4480,        2704,           1,        9283,       20981,           0,        1001,           0,        4814,,        4972,          45,           1,           2,           1,,           6,,,,,,,,,,,,,,,,,,,,,                                      .c,,,,,,,,                                      .c,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chirurgie du sein : 5,Cataracte : 0,Arthroscopie du genou : 0,Hernie enfant : 19,RTU prostate : 173,Hernie adulte y compris coelioscopie : 550,"Chirurgies transurétrales, autres : 770",Hernies : 712,Chirurgies appareil génital masculin : 440,Cholécystectomies : 401,Chirurgies rectum/anus (hors résections) : 380,Endoscopies digestives thérapeutiques et anesthésie : séjours de moins de 2 jours : 1762,Endoscopies digestives avec ou sans anesthésie : 1567,Signes et symptômes : 263,"Autres affections hépatiques, voies biliaires : 258",Soins palliatifs : 223,"       53,15","       24,48","        14,1","       12,37",,"       425,3","       90,26","      286,07","        2,98","       31,97","       14,02","       0,883","       0,831",,,,,,,      279061,,,"       50,79","       51,95","       80,45","        65,9","         1,3",,,"     23363,6","     85377,7","        32,4","         0,6",,,,,
440050441,DIALYSE ECHO ST NAZAIRE,OQN,TAA,CLI,T0,,,,,,,,,,,,,,,,,,,,,,           0,           0,           0,           0,           0,           0,           0,           0,        9143,           0,           0,           0,,           0,,,,,,,,,,,,,,,,,,,,,,,,                                      .z,,,,                                      .z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chirurgie du sein : 0,Cataracte : 0,Arthroscopie du genou : 0,Hernie enfant : 0,RTU prostate : 0,Hernie adulte y compris coelioscopie : 0,,,,,,,,,,,"        0,33","        0,33",,,,"       12,82","        0,71","       12,11",,,,,,,,,,,,                                      .c,,,,,,,,,,,,"        18,3",,,,                                      .z,                                      .z,                                      .z
440053643,CH ERDRE ET LOIRE,DGF,TAA,CH,T1,M2,C2,O2,           6,"        0,57","        9,91",,,"        53,7",          97,"       100,6","        55,7",          40,,,,           4,          12,           6,          15,,        2630,         714,         725,        1019,        1325,         289,           0,           0,           0,         207,         604,        1770,,         628,          69,           1,,,,           3,           1,,,,,,,,,,,,,,,,,,,,                                      .c,,,,,,,,                                      .c,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chirurgie du sein : 0,Cataracte : 213,Arthroscopie du genou : 9,Hernie enfant : 0,RTU prostate : 0,Hernie adulte y compris coelioscopie : 102,Chirurgies de la bouche : 268,Cataractes : 213,actes ORL et stomato divers : 210,Chirurgies majeures orthopédiques (dont hanche et fémur genou) : 149,Autres chirurgies ORL : 127,affections médicales du nouveau né : 622,Endoscopies digestives thérapeutiques et anesthésie : séjours de moins de 2 jours : 296,Infections respiratoires : 275,Endoscopies digestives avec ou sans anesthésie : 191,"Cardiopathies, valvulopathies : 162","       36,38","       23,21","        3,29","        3,12","        3,69","      417,92","       62,02","      279,92","        4,97","       13,45","       57,56","       1,327","       1,181","       1,052",,,,,,      164336,"       17,72","        66,6","       64,98","       74,23","        90,4","       100,4","         5,1",,          29,"     10939,2","    112144,7","        34,7","         2,6","         4,7",,"         8,7",,
